rank,city,state,population,2000-2013 growth
1,New York,New York,8405837,4.8%
2,Los Angeles,California,3884307,4.8%
3,Chicago,Illinois,2718782,-6.1%
4,Houston,Texas,2195914,11.0%
5,Philadelphia,Pennsylvania,1553165,2.6%
6,Phoenix,Arizona,1513367,14.0%
7,San Antonio,Texas,1409019,21.0%
8,San Diego,California,1355896,10.5%
9,Dallas,Texas,1257676,5.6%
10,San Jose,California,998537,10.5%
11,Austin,Texas,885400,31.7%
12,Indianapolis,Indiana,843393,7.8%
13,Jacksonville,Florida,842583,14.3%
14,San Francisco,California,837442,7.7%
15,Columbus,Ohio,822553,14.8%
16,Charlotte,North Carolina,792862,39.1%
17,Fort Worth,Texas,792727,45.1%
18,Detroit,Michigan,688701,-27.1%
19,El Paso,Texas,674433,19.4%
20,Memphis,Tennessee,653450,-5.3%
21,Seattle,Washington,652405,15.6%
22,Denver,Colorado,649495,16.7%
23,Washington,District of Columbia,646449,13.0%
24,Boston,Massachusetts,645966,9.4%
25,Nashville-Davidson,Tennessee,634464,16.2%
26,Baltimore,Maryland,622104,-4.0%
27,Oklahoma City,Oklahoma,610613,20.2%
28,Louisville/Jefferson County,Kentucky,609893,10.0%
29,Portland,Oregon,609456,15.0%
30,Las Vegas,Nevada,603488,24.5%
31,Milwaukee,Wisconsin,599164,0.3%
32,Albuquerque,New Mexico,556495,23.5%
33,Tucson,Arizona,526116,7.5%
34,Fresno,California,509924,18.3%
35,Sacramento,California,479686,17.2%
36,Long Beach,California,469428,1.5%
37,Kansas City,Missouri,467007,5.5%
38,Mesa,Arizona,457587,13.5%
39,Virginia Beach,Virginia,448479,5.1%
40,Atlanta,Georgia,447841,6.2%
41,Colorado Springs,Colorado,439886,21.4%
42,Omaha,Nebraska,434353,5.9%
43,Raleigh,North Carolina,431746,48.7%
44,Miami,Florida,417650,14.9%
45,Oakland,California,406253,1.3%
46,Minneapolis,Minnesota,400070,4.5%
47,Tulsa,Oklahoma,398121,1.3%
48,Cleveland,Ohio,390113,-18.1%
49,Wichita,Kansas,386552,9.7%
50,Arlington,Texas,379577,13.3%
